Month,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Oct.,173112.00,366524.00,281969.00,266952.21,395158.00,165436.00,275015.20,220694.68,185266.00,233263.88,342113.48,283256.00,351749.01,343909.00,425934.00,320869.03
Nov.,189988.00,251434.00,192932.00,258535.53,168119.00,249903.02,309717.70,108404.36,148991.18,239920.84,228539.20,204151.82,224321.78,243501.14,224161.02,128430.49
Dec.,176532.00,230678.00,160451.00,179427.62,280354.00,245477.52,169432.06,158203.02,183190.12,245971.58,194524.34,167013.54,173084.06,135912.08,248510.84,286140.50
Jan.,135461.16,219996.00,181441.00,157772.37,221423.00,169781.98,249085.48,270856.62,280011.50,223924.30,223976.00,254029.64,255248.68,175933.68,167253.14,297474.11
Feb.,184278.69,141597.00,126029.00,272528.59,220808.00,247854.06,208775.34,192449.28,222071.98,208399.50,156476.44,208293.90,194160.42,254376.38,300487.57,225946.04
Mar.,155495.00,266800.00,211765.00,344606.73,264495.00,184847.04,312374.44,334045.32,410715.20,173806.26,313355.80,284133.60,379102.48,255254.36,236639.47,342326.13
Apr.,266711.00,308008.00,221506.00,252891.34,291831.00,230942.23,366720.44,277427.34,308752.58,358324.88,290985.46,283899.82,474085.16,274441.74,313865.09,286707.50
May,222761.00,292690.00,200096.00,426397.42,309662.00,316924.65,371308.28,239210.86,271184.62,318538.72,270131.68,185887.13,338430.08,315924.98,267021.00,279612.79
Jun.,187880.50,186936.00,205534.00,285370.04,323346.00,260640.48,221768.94,300737.91,235573.56,210675.92,244565.08,237449.09,300750.74,209533.34,239252.59,263684.81
Jul.,170441.50,274877.00,285537.00,229548.50,226590.00,220408.86,326706.02,341124.38,300008.12,196358.04,296749.02,228405.77,338123.27,304373.89,309520.39,207318.51
Aug.,290318.00,150745.00,419480.00,260138.58,238960.00,378515.58,212269.08,364137.46,219463.82,208152.58,187215.32,259444.82,365715.04,167639.00,274311.01,251994.81
Sep.,223933.50,106303.00,524282.00,457149.51,354205.00,253583.97,371265.36,416129.18,265521.46,325333.52,224208.22,189324.83,383851.48,218068.66,300407.28,388389.04
