,Year,Market cap,Ticker_Symbol
0,2024,204070000000.0,MCD
1,2023,215070000000.0,MCD
2,2022,193010000000.0,MCD
3,2021,200310000000.0,MCD
4,2020,159880000000.0,MCD
5,2019,147470000000.0,MCD
6,2018,136210000000.00002,MCD
7,2017,137210000000.00002,MCD
8,2016,101080000000.0,MCD
9,2015,107120000000.0,MCD
10,2014,90220000000.0,MCD
11,2013,96090000000.0,MCD
12,2012,88440000000.0,MCD
13,2011,102650000000.0,MCD
14,2010,80870000000.0,MCD
15,2009,67220000000.0,MCD
16,2008,69310000000.0,MCD
17,2007,67840000000.0,MCD
18,2006,53360000000.0,MCD
19,2005,42590000000.0,MCD
20,2004,40710000000.0,MCD
21,2003,31330000000.0,MCD
22,2002,20390000000.0,MCD
23,2001,33900000000.0,MCD
24,2024,19710000000.0,DRI
25,2023,19760000000.0,DRI
26,2022,16920000000.000002,DRI
27,2021,19240000000.0,DRI
28,2020,15500000000.0,DRI
29,2019,13240000000.0,DRI
30,2018,12330000000.0,DRI
31,2017,11860000000.0,DRI
32,2016,9020000000.0,DRI
33,2015,8160000000.0,DRI
34,2014,7270000000.0,DRI
35,2013,7130000000.0,DRI
36,2012,5830000000.0,DRI
37,2011,5850000000.0,DRI
38,2010,6410000000.0,DRI
39,2009,4900000000.0,DRI
40,2008,3860000000.0,DRI
41,2007,3970000000.0,DRI
42,2006,5830000000.0,DRI
43,2005,5870000000.0,DRI
44,2004,4400000000.0,DRI
45,2003,3460000000.0,DRI
46,2002,3490000000.0,DRI
47,2001,4139999999.9999995,DRI
48,2024,79020000000.0,CMG
49,2023,62760000000.0,CMG
50,2022,38460000000.0,CMG
51,2021,49180000000.0,CMG
52,2020,38800000000.0,CMG
53,2019,23230000000.0,CMG
54,2018,11950000000.0,CMG
55,2017,8160000000.0,CMG
56,2016,10920000000.0,CMG
57,2015,14670000000.0,CMG
58,2014,21230000000.0,CMG
59,2013,16530000000.000002,CMG
60,2012,9240000000.0,CMG
61,2011,10570000000.0,CMG
62,2010,6600000000.0,CMG
63,2009,2770000000.0,CMG
64,2008,1990000000.0,CMG
65,2007,4820000000.0,CMG
66,2006,1850000000.0,CMG
67,2024,38320000000.0,YUM
68,2023,36620000000.0,YUM
69,2022,36070000000.0,YUM
70,2021,40700000000.0,YUM
71,2020,32740000000.000004,YUM
72,2019,30210000000.0,YUM
73,2018,28120000000.0,YUM
74,2017,27500000000.0,YUM
75,2016,23240000000.0,YUM
76,2015,30680000000.0,YUM
77,2014,31610000000.0,YUM
78,2013,33490000000.000004,YUM
79,2012,29940000000.0,YUM
80,2011,27170000000.0,YUM
81,2010,23000000000.0,YUM
82,2009,16399999999.999998,YUM
83,2008,14570000000.0,YUM
84,2007,19090000000.0,YUM
85,2006,15580000000.0,YUM
86,2005,13030000000.0,YUM
87,2004,13680000000.0,YUM
88,2003,10040000000.0,YUM
89,2002,7120000000.0,YUM
90,2001,7180000000.0,YUM
91,2024,15960000000.0,DPZ
92,2023,14370000000.0,DPZ
93,2022,12260000000.0,DPZ
94,2021,20510000000.0,DPZ
95,2020,15100000000.0,DPZ
96,2019,11430000000.0,DPZ
97,2018,10160000000.0,DPZ
98,2017,8260000000.0,DPZ
99,2016,7670000000.0,DPZ
100,2015,6070000000.0,DPZ
101,2014,5230000000.0,DPZ
102,2013,3880000000.0,DPZ
103,2012,2450000000.0,DPZ
104,2011,1970000000.0,DPZ
105,2010,950000000.0,DPZ
106,2009,480000000.0,DPZ
107,2008,260000000.0,DPZ
108,2007,780000000.0,DPZ
109,2006,1740000000.0,DPZ
110,2005,1620000000.0,DPZ
111,2004,1220000000.0,DPZ
